{0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 5; 3; 4; 
6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 8; 6; 7; 
0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 2; 0; 1; 
